Índice,Histograma,Ecualizado
0,456,0
1,104,0
2,112,0
3,123,0
4,166,0
5,179,0
6,213,0
7,273,0
8,336,0
9,350,1
10,507,1
11,646,1
12,910,1
13,1185,1
14,1701,2
15,2681,3
16,4531,4
17,6603,6
18,8441,8
19,10374,11
20,11441,14
21,12333,17
22,13098,21
23,12901,25
24,12169,28
25,11216,31
26,10203,34
27,9286,37
28,8298,39
29,8006,41
30,7591,43
31,6766,45
32,6202,47
33,5635,48
34,5122,50
35,4699,51
36,4655,52
37,4498,54
38,4527,55
39,4738,56
40,4783,57
41,4936,59
42,4981,60
43,4923,62
44,4868,63
45,4570,64
46,4234,65
47,3927,66
48,3755,67
49,3357,68
50,3178,69
51,2942,70
52,2721,71
53,2647,72
54,2410,72
55,2472,73
56,2387,74
57,2352,74
58,2285,75
59,2185,76
60,2155,76
61,2181,77
62,2305,77
63,2276,78
64,2328,79
65,2297,79
66,2407,80
67,2387,81
68,2508,81
69,2625,82
70,2732,83
71,3010,84
72,3424,85
73,4479,86
74,5149,87
75,5599,89
76,6098,90
77,6273,92
78,6505,94
79,7708,96
80,8649,99
81,8616,101
82,9529,104
83,10226,106
84,10183,109
85,11807,112
86,11625,116
87,11117,119
88,10262,122
89,9339,124
90,7928,126
91,7617,128
92,7428,131
93,7482,133
94,7303,135
95,6881,137
96,6336,138
97,6794,140
98,7002,142
99,6632,144
100,6006,146
101,5573,147
102,6153,149
103,5902,150
104,5351,152
105,5469,153
106,5229,155
107,4942,156
108,5006,158
109,5097,159
110,4647,160
111,4967,162
112,4895,163
113,5210,165
114,5331,166
115,4745,167
116,4751,169
117,4499,170
118,4775,171
119,4613,172
120,4681,174
121,4462,175
122,4406,176
123,4356,177
124,4166,179
125,4139,180
126,3952,181
127,3830,182
128,3723,183
129,3733,184
130,3460,185
131,3565,186
132,3249,187
133,3199,188
134,3176,189
135,3202,189
136,3132,190
137,3022,191
138,3016,192
139,3033,193
140,2974,194
141,2947,194
142,2956,195
143,2965,196
144,2882,197
145,2846,198
146,2873,198
147,2769,199
148,2768,200
149,2851,201
150,2733,202
151,2748,202
152,2797,203
153,2731,204
154,2774,205
155,2791,205
156,2728,206
157,2817,207
158,2749,208
159,2830,208
160,2828,209
161,2776,210
162,2942,211
163,2759,212
164,2840,212
165,2882,213
166,2956,214
167,2765,215
168,2853,216
169,2899,216
170,2829,217
171,2833,218
172,2859,219
173,2903,220
174,2818,220
175,2779,221
176,2744,222
177,2647,223
178,2664,223
179,2601,224
180,2653,225
181,2558,225
182,2523,226
183,2491,227
184,2508,228
185,2407,228
186,2354,229
187,2284,230
188,2220,230
189,2314,231
190,2186,231
191,2234,232
192,2138,233
193,2075,233
194,2118,234
195,2043,234
196,2086,235
197,2017,235
198,2052,236
199,1867,237
200,1892,237
201,1841,238
202,1835,238
203,1768,239
204,1731,239
205,1844,240
206,1564,240
207,1571,240
208,1531,241
209,1559,241
210,1419,242
211,1417,242
212,1440,242
213,1325,243
214,1298,243
215,1288,244
216,1189,244
217,1201,244
218,1146,245
219,1123,245
220,1061,245
221,1079,245
222,977,246
223,980,246
224,884,246
225,876,246
226,915,247
227,861,247
228,788,247
229,802,247
230,741,248
231,761,248
232,706,248
233,699,248
234,689,248
235,708,249
236,665,249
237,638,249
238,578,249
239,653,249
240,688,249
241,677,250
242,658,250
243,652,250
244,698,250
245,735,250
246,742,251
247,795,251
248,851,251
249,1011,251
250,1008,252
251,1209,252
252,1400,252
253,1315,253
254,2000,253
255,6231,255
