valor,histo,eqHisto
0,245,1
1,179,1
2,319,1
3,547,1
4,1075,1
5,1965,1
6,4083,1
7,5749,1
8,13640,1
9,20080,1
10,12825,1
11,12993,2
12,14712,2
13,17064,2
14,21384,2
15,19967,2
16,25937,2
17,35629,2
18,44407,3
19,47594,3
20,46987,3
21,44463,4
22,42531,4
23,41938,4
24,39006,5
25,39848,5
26,39011,5
27,43985,5
28,47266,6
29,33045,6
30,39581,6
31,36517,6
32,32250,7
33,35770,7
34,39787,7
35,40449,7
36,48705,8
37,44479,8
38,31901,8
39,37702,9
40,43256,9
41,85522,9
42,127879,10
43,183860,12
44,271855,14
45,274794,15
46,187012,17
47,380211,19
48,372047,22
49,346911,24
50,440950,27
51,462793,30
52,430793,33
53,397022,36
54,365312,39
55,220324,40
56,342526,43
57,313927,45
58,295216,47
59,319428,49
60,301415,51
61,319851,53
62,394596,56
63,381853,59
64,280820,61
65,421395,63
66,419999,66
67,431586,69
68,442732,72
69,403930,75
70,421852,78
71,424887,81
72,390338,84
73,374988,86
74,492912,90
75,494523,93
76,479227,96
77,533153,100
78,528089,104
79,514877,107
80,489785,111
81,424164,113
82,372029,116
83,437390,119
84,416773,122
85,410023,125
86,431754,128
87,423690,131
88,435281,134
89,450726,137
90,400198,139
91,345561,142
92,417950,145
93,396391,147
94,379820,150
95,377835,153
96,355405,155
97,350753,158
98,350413,160
99,330453,162
100,303295,164
101,328837,167
102,321458,169
103,298612,171
104,314235,173
105,313015,175
106,310741,177
107,313912,179
108,297218,182
109,285001,183
110,280254,185
111,264357,187
112,244350,189
113,253232,191
114,246526,192
115,242569,194
116,248151,196
117,239091,197
118,239302,199
119,226728,201
120,224167,202
121,214729,204
122,225132,205
123,221147,207
124,210783,208
125,216777,210
126,202364,211
127,199182,212
128,181879,214
129,176195,215
130,170535,216
131,174721,217
132,170587,218
133,167215,220
134,177418,221
135,177581,222
136,198803,223
137,202947,225
138,208637,226
139,202251,228
140,195295,229
141,173362,230
142,167164,231
143,165025,232
144,144979,233
145,149476,234
146,129552,235
147,132810,236
148,129903,237
149,124589,238
150,109769,239
151,114910,240
152,109047,240
153,109381,241
154,110525,242
155,110546,243
156,112462,243
157,105598,244
158,95632,245
159,85012,245
160,83776,246
161,83103,246
162,76818,247
163,82253,248
164,83862,248
165,74805,249
166,65526,249
167,58020,250
168,50494,250
169,39628,250
170,35569,250
171,29926,251
172,28656,251
173,25397,251
174,23900,251
175,22110,251
176,21089,251
177,19547,252
178,18514,252
179,17506,252
180,16920,252
181,17162,252
182,16553,252
183,16385,252
184,16286,252
185,16060,253
186,15795,253
187,16217,253
188,17106,253
189,18407,253
190,18353,253
191,18356,253
192,17478,253
193,16228,253
194,15765,254
195,15572,254
196,15541,254
197,15324,254
198,15394,254
199,15150,254
200,14640,254
201,13676,254
202,12605,254
203,11457,254
204,10691,255
205,9864,255
206,9058,255
207,7611,255
208,6630,255
209,5529,255
210,4921,255
211,3797,255
212,3195,255
213,2561,255
214,2279,255
215,1879,255
216,1542,255
217,1431,255
218,1125,255
219,1015,255
220,829,255
221,729,255
222,619,255
223,502,255
224,415,255
225,331,255
226,300,255
227,221,255
228,169,255
229,174,255
230,147,255
231,116,255
232,90,255
233,67,255
234,57,255
235,61,255
236,49,255
237,42,255
238,36,255
239,26,255
240,18,255
241,22,255
242,18,255
243,17,255
244,10,255
245,12,255
246,16,255
247,10,255
248,6,255
249,8,255
250,10,255
251,4,255
252,8,255
253,7,255
254,9,255
255,156,255
